,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1
europa,0,0,0,0,0,0,1,0,0,0,0,0,51,24
europa-press,2,4,5,5,4,6,0,0,0,0,0,0,97,56
expansion,0,0,0,0,0,0,0,0,0,0,0,0,44,19
expansión,0,0,0,0,0,0,0,0,0,0,0,0,25,28
experiencia,0,0,0,0,0,0,0,0,0,0,0,0,37,13
experto,0,0,0,0,0,0,0,0,0,0,0,1,34,15
firmar,0,1,0,2,1,1,0,0,0,0,0,0,45,23
fondo,1,0,1,0,0,0,0,0,0,0,0,0,50,34
fondo-europeo,0,0,0,0,0,0,0,0,0,0,0,0,104,30
formar,0,0,0,0,0,0,0,0,0,0,0,0,49,20
formar-anual,0,0,0,0,0,0,0,0,0,0,0,0,30,18
futuro,0,0,0,0,1,0,0,0,0,0,1,0,35,16
gobierno,0,0,0,0,0,1,0,0,0,0,0,0,218,69
gobierno-central,0,0,0,0,0,0,0,0,0,0,0,0,47,11
gratis-regístrateiniciar-sesión-gracias,0,0,0,0,0,0,0,0,0,0,0,0,81,38
grupo,1,1,0,0,0,0,0,0,0,0,0,0,83,39
hora,0,0,0,1,0,0,0,0,0,0,0,0,52,29
ibex,0,0,0,0,0,0,1,0,0,1,0,3,66,33
idioma-original,0,0,0,0,0,0,0,0,0,0,0,0,71,20
incidencia-acumular,0,0,0,0,0,0,0,0,0,0,0,0,57,27
ingreso,0,0,0,1,1,0,0,1,0,0,0,0,28,18
instituto-nacional,0,0,0,0,0,0,0,0,0,0,0,2,37,17
inversión,0,1,0,0,0,0,0,0,0,0,0,0,100,37
inversión-extranjero,0,0,0,0,0,0,0,3,2,0,3,6,48,28
inversor,0,0,0,0,1,1,0,0,0,0,1,2,46,21
isabel-díaz-ayuso,0,0,0,0,0,0,0,0,0,0,0,1,58,19
jmcadenas-expansion,0,0,0,0,0,0,0,0,0,0,0,0,39,17
joe-biden,0,0,0,0,0,0,0,0,0,0,0,1,87,73
josé-luis-escrivá,0,0,0,0,0,0,0,0,0,0,0,0,50,35
jueves,0,0,0,0,0,1,0,0,0,0,0,0,51,12
jugar,0,0,0,0,0,0,0,0,0,0,0,0,29,19
key-to-markets,0,0,0,0,0,0,0,2,4,2,7,13,96,53
llegar,0,0,0,0,0,0,0,0,0,0,0,1,48,8
lunes,0,0,0,0,0,0,0,0,0,0,0,1,60,32
madrid,1,0,1,0,1,0,0,0,0,0,0,0,131,56
martes,0,0,0,0,0,0,0,0,0,0,0,0,53,11
maría-jesús-montero,0,0,0,0,0,0,0,0,0,0,0,0,93,16
medir,0,0,0,0,0,0,0,0,0,0,0,1,78,26
mercar,0,0,1,0,1,1,0,0,0,0,0,2,133,74
mercar-español,0,0,0,0,0,0,0,0,0,0,0,1,55,28
mercar-europeo,0,0,1,0,0,0,0,0,0,0,0,2,56,21
mercar-financiero,0,1,0,0,0,1,0,0,0,0,0,0,56,29
mercar-laboral,0,0,0,0,0,0,0,0,0,0,1,0,42,19
mes-gratis,0,0,0,0,0,0,0,0,1,0,2,5,38,22
mesar,2,1,0,0,2,0,0,0,0,0,0,3,162,65
millón,5,5,7,3,6,5,1,5,0,1,3,8,914,376
ministro,0,0,0,0,0,0,0,0,0,0,1,0,62,33
ministro-británico,0,0,0,0,0,0,0,0,0,0,0,0,44,10
miércoles,0,0,0,0,0,0,0,0,0,0,0,0,38,14
mundo,0,1,0,0,0,0,0,0,0,1,0,0,59,34
máximo-histórico,1,0,1,1,1,0,0,0,0,0,1,3,71,52
mínimo-histórico,0,0,0,0,0,0,0,0,0,0,0,1,36,11
n-ueva-tender,0,0,0,0,0,0,0,0,0,1,6,13,30,0
n-ueva-tender-amazon,0,0,0,0,0,0,0,0,0,0,0,0,65,54
nadia-calviño,0,0,0,0,0,1,0,0,0,0,0,0,37,13
negociación,0,0,0,0,1,0,0,0,0,0,0,0,39,9
negociar,0,0,1,0,0,0,0,0,0,0,0,1,44,27
nivel,0,1,0,0,0,1,0,0,0,0,0,1,38,12
nivel-experto,0,0,0,0,0,0,0,0,0,0,0,0,18,45
nivel-mundial,0,0,0,0,0,0,0,0,0,0,0,0,34,14
noviembre,0,0,0,0,0,0,0,0,0,0,0,0,34,22
número,0,0,0,0,0,0,0,0,0,0,0,1,31,16
objetivar,0,0,0,0,1,0,0,1,0,0,0,0,45,19
octubre,0,0,0,0,1,0,0,0,0,0,0,0,40,7
operación,1,0,0,0,0,0,0,0,0,0,0,0,80,42
pablo-casado,0,0,0,0,0,0,0,0,0,0,0,0,39,9
pablo-iglesias,0,0,0,0,0,0,0,0,0,0,0,0,60,16
pagar,0,0,0,0,1,0,1,0,0,0,1,1,42,21
pandemia,0,0,0,0,0,0,0,0,0,0,0,0,173,56
parir,0,0,0,0,0,0,0,0,0,0,2,0,103,42
pasar,0,0,0,0,0,0,0,0,0,0,1,0,91,47
país,0,0,0,0,0,1,0,1,0,1,1,0,236,100
país-europeo,0,0,0,0,0,0,0,0,0,0,0,1,121,45
país-vasco,0,0,0,0,0,0,0,0,0,0,0,1,41,15
pedro-sánchez,0,0,0,0,0,1,0,0,0,0,0,0,149,28
periodo,0,0,2,0,1,1,0,1,0,0,0,0,49,16
personar,0,1,0,0,0,0,0,0,0,0,0,2,121,63
personar-mayor,0,0,0,0,0,0,0,0,0,0,0,2,40,19
plan,0,0,0,0,0,0,0,0,0,0,0,0,54,30
plan-estratégico,0,0,0,0,0,1,0,0,0,0,0,1,61,31
plazo,0,0,1,0,0,1,0,0,0,1,0,0,39,19
plazo-estrategias,0,0,0,0,0,0,0,0,0,0,0,0,36,57
político-monetario,0,0,1,0,0,0,0,0,0,0,0,1,32,14
preciar,0,0,1,0,1,0,0,0,0,0,0,0,35,44
preciar-objetivar,0,0,0,1,1,1,0,0,0,0,0,0,60,29
precio,0,0,0,0,0,0,0,0,0,0,0,1,51,20
presidente,0,0,0,0,0,0,0,0,0,0,0,0,148,56
presidente-electo,0,0,0,0,0,0,0,0,0,0,0,0,32,18
presupuestos-generales,0,0,0,0,0,1,0,0,0,0,0,0,91,4
prever,0,0,0,0,0,0,0,0,0,0,0,0,32,16
principal-empresa,0,0,0,0,0,0,0,0,0,0,0,1,91,1
problema,0,0,0,0,0,0,0,0,0,0,0,1,32,18
